# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
ground.txt
mysterybox.txt

#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 6 = ground, 7 = mysterybox
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	20	10

# GROUND
6	0	196
6	16	196
6	32	196
6	48	196
6	64	196
6	80	196
6	96	196
6	112	196
6	128	196
6	144	196
6	160	196
6	176	196
6	192	196
6	208	196
6	224	196
6	240	196
6	256	196
6	272	196
6	288	196
6	304	196
6	320	196
6	336	196
6	352	196
6	368	196
6	384	196
6	400	196
6	416	196
6	432	196
6	448	196
6	464	196
6	480	196
6	496	196
6	512	196
6	528	196
6	544	196
6	560	196
6	576	196
6	592	196
6	608	196
6	624	196
6	640	196
6	656	196
6	672	196
6	688	196
6	704	196
6	720	196

#Mystery Box
7	180 	130
7	196 	130

7	230 	80
7	246 	80

#Goomba
2	300	10

#Portal 
50	300	110	316	140	2
