# list of object assets to load in this scene
[ASSETS]
mario.txt
ground.txt
path.txt
river.txt
rock.txt
movingbush.txt
destination.txt
border.txt
marioicon.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h

#Mario
0 	20	20

#Border
70 	153	110

#Path (80-85)
80	49	68
80	81	68
85	97	68
81	97	52
80	113	36
83	129	36
80	145	36
80	177	36
80	209	36
83	225	36
81	225	52
81	161	52
84	161	68
80	177	68
80	209	68
84	97	100
80	113	100
80	145	100
81	161	84
81	97	116
84	97	132
81	97	148
80	113	164
83	129	164
80	145	164
81	161	148
83	161	132
80	145	132
83	193	132
80	209	132

#River (86-101)
91	173	112
99	181	112
93	173	120
86	181	120

99	189	112
100	197	112
87	189	120
88	197	120

101	205	112
94	213	112
88	205	120
96	213	120

91	205	96
99	213	96
93	205	104
86	213	104

99	221	96
100	229	96
87	221	104
88	229	104	

100	237	96
92	245	96
89	237	104
90	245	104

93	237	112
90	245	112
97	237	120
94	245	120

93	237	128
90	245	128
97	237	136
94	245	136

93	237	144
90	245	144
97	237	152
94	245	152

101	237	160
94	245	160
88	237	168
96	245	168

99	221	160
100	229	160
87	221	168
88	229	168

99	205	160
100	213	160
87	205	168
88	213	168

99	189	160
100	197	160
87	189	168
88	197	168

97	173	160
98	181	160
95	173	168
87	181	168

93	173	144
90	181	144
97	173	152
94	181	152

#Destination
108	65	68
102	97	36
103	161	36	
104	193	36
105	193	68
106	97	164
107	161	164
110	225	68
110	129	132
109	97	84
115	129	100
114	161	100
116	177	132
111	225	132
112	225	116
113	241	116

#MovingBush
76	49	36
76	65	36
76	81	36
76	49	52
76	65	52
76	81	52

76	49	84
76	65	84
76	81	84
76	49	100
76	65	100
76	81	100
76	49	116

76	113	52
76	129	52
76	145	52
76	113	68
76	129	68
76	145	68
76	113	84
76	129	84
76	145	84

76	177	52
76	193	52
76	209	52

76	241	36
76	257	36
76	241	52
76	257	52
76	241	68
76	257	68
76	177	84
76	193	84
76	209	84
76	225	84
76	241	84
76	257	84
76	177	100
76	193	100
76	257	100
76	257	116
76	257	132
76	257	148
76	257	164

#Rock
74	81	132
74	65	148
74	81	148
74	65	164
74	81	164

74	113	132
74	113	148
74	129	148

#Ground
#6	100	180	16	15	32	61000	62000	63000

#Portal 
#57	200	160	216	180	1

#MARIOICON
#120	65	68
